adauga angatati,2023-05-23 17:24:11
adauga angatati,2023-05-23 17:24:34
adauga angatat,2023-05-23 17:28:55
afiseaza angatati,2023-05-23 17:29:12
afiseaza angatati,2023-05-23 17:30:36
adauga angatat,2023-05-23 17:30:45
adauga angatat,2023-05-23 17:32:31
afiseaza angatati,2023-05-23 17:32:39
cauta un angajat,2023-05-23 17:34:16
 Cauta produsele cu un pret mai mic decat un numar dat,2023-05-23 17:34:30
Calcul valoare stoc,2023-05-23 17:34:38
cauta produs dupa ctegorie,2023-05-23 17:34:40
cauta produs dupa ctegorie,2023-05-23 17:35:52
cauta produs dupa ctegorie,2023-05-23 17:36:03
cauta comanda dupa id,2023-05-23 17:37:18
afiseaza produse in stoc,2023-05-23 17:37:31
cauta produs dupa ctegorie,2023-05-23 17:38:26
cauta produs dupa ctegorie,2023-05-23 17:47:43
adauga angatat,2023-05-23 17:48:17
cauta un angajat,2023-05-23 17:48:25
afiseaza angatati,2023-05-23 17:48:35
adauga angatat,2023-05-23 18:10:20
afiseaza angatati,2023-05-23 18:10:37
adauga angatat,2023-05-23 18:31:32
adauga angatat,2023-05-23 18:33:53
adauga angatat,2023-05-23 18:35:16
afiseaza angatati,2023-05-23 18:35:23
afiseaza angatati,2023-05-23 18:38:26
afiseaza angatati,2023-05-23 18:39:19
adauga angatat,2023-05-23 18:39:23
adauga angatat,2023-05-23 18:40:51
afiseaza angatati,2023-05-23 18:43:54
adauga angatat,2023-05-23 18:43:59
afiseaza angatati,2023-05-23 18:44:11
cauta un angajat,2023-05-23 18:44:36
afiseaza angatati,2023-05-23 18:50:43
afiseaza angatati,2023-05-23 18:50:54
adauga angatat,2023-05-23 18:51:21
afiseaza angatati,2023-05-23 18:51:31
cauta un angajat,2023-05-23 18:51:35
afiseaza angatati,2023-05-23 18:53:47
cauta un angajat,2023-05-23 18:53:57
afiseaza angatati,2023-05-23 18:58:09
adauga angatat,2023-05-23 18:58:13
Cauta produsele cu un pret mai mic decat un numar dat,2023-05-23 18:58:35
afiseaza angatati,2023-05-23 18:58:43
cauta un angajat,2023-05-23 18:59:12
Cauta produsele cu un pret mai mic decat un numar dat,2023-05-23 18:59:33
cauta produs dupa ctegorie,2023-05-23 18:59:43
afiseaza produse in stoc,2023-05-23 18:59:52
afiseaza soferii cu nr max de comenzi,2023-05-23 18:59:55
cauta comanda dupa id,2023-05-23 19:00:04
cauta comanda dupa id,2023-05-23 19:07:23
cauta comanda dupa id,2023-05-23 19:07:52
afiseaza soferii cu nr max de comenzi,2023-05-23 19:07:56
afiseaza angatati,2023-05-24 16:35:32
cauta un angajat,2023-05-24 16:35:36
afiseaza angatati,2023-05-24 16:35:50
afiseaza angatati,2023-05-24 16:38:18
adauga angatat,2023-05-24 16:38:28
afiseaza angatati,2023-05-24 16:40:47
adauga angatat,2023-05-24 16:40:50
afiseaza angatati,2023-05-24 16:41:02
sterge un angajat,2023-05-24 16:41:18
afiseaza angatati,2023-05-24 18:57:16
afiseaza produse in stoc,2023-05-24 18:58:29
